"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"Papelli","74 rue du Faubourg Saint Denis, 75010 Paris France","422","4.5","Papelli is an italian trattoria Everyday fresh pizzas and salads A large propositions of drinks Cool place with selected products","839","$$ - $$$","$12 - $18"
"Les Bougresses","6 rue de Jarente, 75004 Paris France","405","4.5",,"934","$$ - $$$",
"Astair","19 Passage des Panoramas Intersection entre la Galerie des Variétés et le Passage des Panoramas, 75002 Paris France","399","4.5","This is the revival of the French Bistrot. We've designed a restaurant that wants to emphasize the fact that Paris is still a moveable feast. Why not go out in a suit, or in an evening dress, and have escargots at the bar? What about a cocktail, music, and cuisses de grenouilles ? Come and celebrate with us our idea of France and French food. We've created a typical French menu with extreme quality goals. Have a seat at our table!","392","$$ - $$$","$20 - $50"
"My Noodles","129 boulevard du Montparnasse, 75006 Paris France","407","4.5",,"511","$",
"Le Bon, La Butte","102 T rue Lepic A few meters from the Moulin de la Galette, 75018 Paris France","380","4.5",,"207","$$ - $$$","$10 - $55"
"La cantine Champ Libre","9 Rue Taylor, 75010 Paris France","221","5","La cantine Champ Libre Restaurant au 9 rue Taylor, Paris 10 Cantine et future ferme | Dej - Dîner - Brunch | Ouvert 7/7 Avec ou sans réservation Dej : lun - ven, 12:00 - 15:00, formules déjeuner, sur place ou à emporter ✨ Dîner : mer - sam, 19:30 - 23:00, à la carte ☕ Brunch : sam - dim, 11:30 - 15:00, formule brunch Cuisine de saison faite à partir de produits locaux, bio et fermiers Le menu du midi change tous les jours, et le menu du soir toutes les semaines, au fil des saisons et de l'inspiration de l'équipe de cuisine. À découvrir sur place. Entrées et plats végétariens savoureux","101","$$ - $$$",
"Les Poulettes Batignolles","10 rue de Cheroy, 75017 Paris France","408","4.5","Situé à Paris 17è, les Poulettes Batignolles est un charmant restaurant proposant une cuisine traditionnelle française aux accents catalans fondé en 2014 par Ludovic Dubois et Judith Cercos. Intransigeant sur la qualité, ne travaillant qu’avec les meilleurs produits, le chef Ludovic ne collabore qu’avec les fournisseurs les plus qualitatifs et ne fait son marché qu’auprès des commerçants du quartier qui travaillent avec des petits producteurs locaux (rue de Lévis, marché des Batignolles,...). Judith, ancienne sommelière du prestigieux Mandarin de Barcelone, a composé une cave qui compte pas loin de 150 références de vins biodynamiques et naturels. Aux Poulettes Batignolles, la carte est révisée en fonction des produits de saison et le fait maison est à l’honneur.","516","$$ - $$$",
"Bistrot de L'Oulette","38 rue des Tournelles Bastille, Place des Vosges, Chemin vert, Opera de Bastille, 75004 Paris France","411","4.5","Bistrot de l'oulette is a local institution in Le Marais, this bistrot is ideally placed between la bastille and place des vosges, with it's authentic menu from the south west of france , it is a must if you want to enjoy the flavours of the re-visited fundamentals of french cuisine from foie gras to cassoulet. With no pretention, it is one of the best adresses in paris for it's price.","903","$$ - $$$","$17 - $45"
"Sur la Route de Plouescat","4 rue Lamarck, 75018 Paris France","419","4.5",,"287","$","$10 - $26"
"Tesoro d'Italia","41 rue de Paradis, 75010 Paris France","394","4.5","une idée très simple : le goût avant tout ! En somme, nous voulions redécouvrir et partager la généreuse cuisine transalpine dans le respect des traditions.","630","$$ - $$$","$10 - $35"
"Il Pomod'oro","340 rue Saint Jacques 340 rue saint Jacques, 75005 Paris France","566","4.5",,"211","$$ - $$$","$10 - $25"
"Le Jourdain","101, Rue des Couronnes, 75020 Paris France","387","4.5",,"405","$$ - $$$","$20 - $40"
"Le Jeroboam","72 rue Didot, 75014 Paris France","402","4.5",,"760","$$ - $$$","$10 - $30"
"Le Coupe Gorge","2 rue de la Coutellerie, 75004 Paris France","420","4.5","Founded in 1895 and located just a few steps from Hotel de Ville and Le Marais, Le Coupe Gorge offers a traditional warm and friendly atmosphere in an old Parisian establishment. Julien Stefanizzi, the chef and recent master of this restaurant made his debut in Paris at ""Petit Colombier"", and ""Apicius"", with the Chef Jean-Pierre Vigato (twice starred with his restaurant). Passionnate of traditional French cooking, Chef Julien Stefanizzi strongly believes and supports homemade food concept prepared with fresh ingredients. You can also enjoy his special homemade nougat. Le Coupe Gorge is also a catering service, the privatization of its floor for 45 people and exhibit location.","554","$$ - $$$","$18 - $26"
"Il etait une Oie dans le Sud Ouest","8 rue Gustave Flaubert, 75017 Paris France","428","4.5","LIVRAISON VIA UBER EATS & DELIVEROO Du mardi au samedi à partir de 17:00 SUR PLACE : Vente à emporter & Click & Collect","520","$$ - $$$",
"Le Bistrot de Charenton","123 rue de Paris, 94220 Charenton-le-Pont France","2","4.5",,"530","$$ - $$$","$20 - $40"
"Le P'tit Troquet","28 rue de l Exposition, 75007 Paris France","369","4.5",,"1107","$$ - $$$","$18 - $45"
"Le Cornichon","34 rue Gassendi, 75014 Paris France","354","4.5",,"421","$$ - $$$","$35 - $55"
"L'Italien","40 rue de Ponthieu, 75008 Paris France","364","4.5","METRO ST-PHILIPPE DU ROULE - In the district Paris 8 - Champs-Elysées, Italian is a godsend. The reason: an excellent price vs quality and a comfortable space. ITALIAN AFFORDABLE - The food is copious (antipasto, pizza, veal cutlet Milanese, penne arrabiata with ...) and as it is a market fresh cooked products, we never tire. Current quality products direct from Italy. Welcom to L'Italien","605","$$ - $$$","$14 - $50"
"Au Petit Tonneau","20 rue Surcouf, 75007 Paris France","339","4.5","""Au Petit Tonneau"" Every day, French cuisine lovers rush to this lovely and welcoming spot located in the heart of Paris' 7th arrondissement, in the famous Surcouf Street. They come here, only a few steps away from the Invalides and the Eiffel Tower, to enjoy authentic, generous and traditional meals. Au Petit Tonneau is an authentic Parisian bistro that has existed over thirty years ago, offering a friendly atmosphere, accentuated by vichy tablecloths and ancient tiles embellished with fleur-de-lis, where one word prevails: ""enjoy"" ! It is also in this restaurant where Comissaire Maigret, under the pen name of Georges Simenon, habitually took a few puffs from his pipe as he was seated at his ""table of the commisaire"" to relish in his favorite dish: a veal stew, which to this day is still highly anticipated by customers. ""menu"" The cuisine of Au Petit Tonneau revisits the traditional and savory entrees that build onto the international reputation of the French gastronomy. Gourmet meals altering with the changing seasons can also boast to a great pricing for its quality, such as the veal with gravy accompanied by a simmering gratin dauphinois (cooked in cream), barely out of the oven.","467","$$ - $$$","$35 - $200"
"La Galettiere","39 avenue Carnot, 91300 Massy France","1","4.5",,"214","$","$5 - $15"
"Gelateria Verdi Pizza Parma","1 rue du General Gallieni, 93110 Rosny-sous-Bois France","1","4.5",,"225","$$ - $$$",
"Kemia paris","1 rue Bergere, 75009 Paris France","415","5","Kémia est un restaurant Français d'influence méditerranéenne. Une cuisine de partage avec des produits frais et de saison. Le midi une formule déjeuner à partir 25€. Le soir des assiettes à partager de 9 à 20€ sur ardoise qui évolue en fonction de nos producteurs et de nos envies.","76","$$ - $$$","$25 - $45"
"La Maison du Jardin","27 rue de Vaugirard, 75006 Paris France","424","4.5",,"660","$$ - $$$",
"L'Iliade","59 rue de Belleville, 75019 Paris France","453","4.5",,"209","$$ - $$$",
"Palais du Bonheur","131 rue Michel Ange, 75016 Paris France","431","4.5","Traditional Chinese restaurant with Home Made dim sum and the famous Beijing duck in 4 styles . All our food are prepared by our Singapore experienced cook Mr Shee and his team . He worked for about 40 years in chinese cooking . We have a private room of 25 seats for special businesses and family events . We can do also special orders as well .","383","$$ - $$$","$15 - $35"
"A Cote","16 Rue La Fayette, 75009 Paris France","485","4.5",,"414","$$ - $$$","$70 - $180"
"Kuccini","165 Rue St Denis, 75002 Paris France","439","4.5","KUCCINI is a Semi gastro Parisian restaurant situated in Montorgueil, the pedestrian old village downtown the French capital for authentic Parisians. Kuccini's creative, experienced (and handsome!) Executive Chef, impulsed by Italian and International inspirations, is also highly skilled in French Technic cuisine. As they wish, our clients can discover his cuisine by ordering several half-sized plates (Cicchetti) or one regular-sized plate. Cicchetti, an original speciality of Venice, are the internationally trending way of ordering food, for its incomparable taste experience and conviviality","535","$$ - $$$","$9 - $29"
"Shiro","168 Boulevard Saint-Germain, 75006 Paris France","388","4.5",,"365","$$$$",
"L'Ange 20","44 rue des Tournelles, 75004 Paris France","416","4.5","Typical French bistro located in the hart of Marais just a few foot steeps away from the ""Place des Vosges"" and Saint Paul Church. From the small intimate and cozy dining room you can see everything that happens in the kitchen. Thierry the owner and his team will pay special attention that you feel at home. Here one does not hesitate to speak directly to the kitchen! The dishes are simple and tasty. All made from fresh products cooked like at home The wine list offers a wide selection of French wines, selected with care. You 'll find your happiness at reasonable price.","2718","$$ - $$$","$38 - $42"
"IZU","7 rue Veronese, 75013 Paris France","410","4.5","Culinary tradition is an art in the Japanese culture. IZU perpetuates this tradition with its savoir-faire from a long experience. IZU makes every effort to respect its primary value: fresh and high quality ingredients. Thus, the preparation and presentation of our dishes combine aesthetics and taste.","381","$$ - $$$","$8 - $35"
"Cellar Restaurant","9 rue de Crussol Metro Oberkampf, 75011 Paris France","456","5",,"85","$$ - $$$","$20 - $50"
"Colvert","30 rue des Grands Augustins, 75006 Paris France","450","4.5",,"264","$$ - $$$","$29 - $60"
"Meriggio","3 rue Rougemont, 75009 Paris France","444","4.5","Meriggio is the ultimate italian food hall in Paris. Parmigiano, Parma ham, Prosecco, Panettone, Italian Coffee...you are welcome all day long to enjoy our directly imported products! At lunch we serve a selection of our best dishes, and at night the Deli transforms into a Parlor bar, that you will find at the 1st floor.","477","$$ - $$$","$18 - $45"
"Redd","28 rue Saint Sauveur, 75002 Paris France","432","4.5","A new concept of wine bar. Created by Marketa (most recently sommelier at Arpege du Alain Passard) and Rob who just loves wine Where everybody knows your name Eat some amazing tapas, discover some great wines, put on your favourite record, relax, meet new people - enjoy It's time to get serious Our philosophy: The choice of our winemakers and producers stays very personnel. We have chosen wines with our heart, the wines of terroir which makes your mind travel to different places and vineyards. On our wine list you will find prestigious estates but also young talented winemakers which deserves to be discovered and tasted by you. We want to and we hope to make you part of this fantastic adventure the wine is for us. You can choose not only great wines but also taste fantastic tapas based food, products sourced from small producers and seasonally adjusted to make sure you get nothing but the best.","193","$$ - $$$","$3 - $30"
"Ristorante Adaggio","207 rue la Fayette, 75010 Paris France","371","4.5",,"359","$$ - $$$","$15 - $30"
"Sodam - Restaurant Coreen","39 rue de Gergovie ., 75014 Paris France","443","4.5",,"316","$$ - $$$","$12 - $25"
"Bistrot des Vosges","31 boulevard Beaumarchais Bastille/Marais, 75004 Paris France","400","4.5","Traditional parisian bistrot serving food and wine from Aveyron, the departement in the south west of France, they come from. Steackhouse","404","$$ - $$$","$14 - $45"
"Salento Marais","6 rue de Jarente, 75004 Paris France","406","4.5",,"660","$$ - $$$","$14 - $35"
"La Grotte de Chypre","85 rue Mouffetard, 75005 Paris France","413","5","Traiteur grec et turc.","137","$","$6 - $10"
"Alleudium","24 rue Rodier, 75009 Paris France","226","5","""Keiichi SHINOHARA arrive en France en 2003 après 10 ans de service auprès de Chefs japonais à Tokyo, JAPON. Chez Alleudium, le Chef vous propose une cuisine instinctive et spontanée qu’il compose au gré des saisons. Inventive, sa cuisine sans ambiguïté devient un style ou chaque aliment pris est traité avec une perfection de cuisson, de texture et de saveur. Une touche japonaise dans la cuisson ou dans l’assaisonnement suffisent à émerveiller nos papilles. Une vision contemporaine de la cuisine française, savamment servie dans des plats où règnent l’harmonie et l’équilibre…""","87","$$$$","$42 - $100"
"Gemini Odeon","9 rue Monsieur le Prince, 75006 Paris France","368","4.5",,"950","$$ - $$$","$10 - $18"
"La Crepe rit du Clown","6 rue des Canettes, 75006 Paris France","362","4.5","Creperie Bretonne dans le quartier latin, à deux pas de l'eglise Saint-Sulpice, ouverte tous les jours, y compris le dimanche. Les crepes et galettes sont realisees avec des farines bretonnes BIO et garnies de produits frais. Nos galettes au sarrasin sont sans gluten. Les cidres sont artisanaux et/ou BIO. Vous trouverez de nombreuses salades dans notre carte. Nous avons egalement une belle salle voutee au sous-sol, pouvant accueillir des repas de groupe. Formule pour le dejeuner a 13.50€ du lundi au vendredi servie de 11h30 a 15h, sauf jours feries. bon appetit et a bientot","667","$$ - $$$","$8 - $20"
"Paris-Breizh Place d’Italie","166 boulevard Vincent Auriol, 75013 Paris France","390","4.5","La Bretagne à deux pas de la Place d’Italie A deux pas de la place d’Italie, venez nous retrouver pour un moment de détente et de dégustation. Le restaurant est situé sur une petite place arborée très agréable l’été à l’ombre des noisetiers. Nous avons conservé l’histoire du restaurant, le bar et son cuivre vieux d’un siècle et son plancher en chêne qui l’accompagne. Des matières nobles, un décor plus contemporain vient compléter l’ensemble, des fauteuils confortables vous permettrons d’apprécier nos galettes et crêpes maison.","326","$$ - $$$","$15 - $22"
"Schum","50 rue Lauriston, 75116 Paris France","480","4.5",,"227","$$ - $$$","$18 - $42"
"Au Bon Accueil","14 rue de Monttessuy, 75007 Paris France","476","4.5",,"1021","$$ - $$$","$32 - $58"
"Etude","14 rue du Bouquet de Longchamp, 75116 Paris France","466","4.5","Chef offers a tasting with fresh organic products. Two starters, One dishe, One dessert at 75€( lunch only ) Two starters, two dishes, dessert at 130€ Three starters with Specialty, two dishes, two dessert at 160€ Selected great wines of Burgundy","349","$$$$","$75 - $160"
"Les Artistes Gourmands","83 rue de la Roquette, 75011 Paris France","458","4.5",,"342","$$ - $$$",
"Le Recepteur","3 avenue Theophile Gautier 75016 paris, 75016 Paris France","451","4.5","Pendant Le Confinement Le Récepteur Reste Ouvert Et Vous Propose Ses Petits Plats Gourmands En Vente À Emporter ! Réservez En Ligne !","417","$$ - $$$","$15 - $35"
"Brasserie Bellanger","140 rue du Faubourg Poissonniere, 75010 Paris France","462","4.5","Des bons produits sourcés uniquement en circuit court et de la cuisine traditionnelle 100% faite maison.","363","$$ - $$$","$10 - $22"
"Le Casse Noix","56 rue de la Federation, 75015 Paris France","452","4.5",,"589","$$ - $$$","$22 - $70"
"L'Alsacien Chatelet","6 rue Saint Bon, 75004 Paris France","464","4.5","L'Alsacien est le premier Bar à Flammekueche du monde. Un établissement convivial et Hight-Tech mettant à l'honneur l'art culinaire alsacien au coeur de Paris. Dans ce concept-bar d'un nouveau genre, les flammekueches avec les bords tressés à la main sont à commander au Bar. Vous recevez alors un bipper pour récupérer la tarte flambée à partager directement auprès de votre Flambeur et ainsi remettre votre tournée et faire partager une nouvelle expérience à vos amis. Venez y goûter notre sélection de vins alsaciens ou vous servir vous-même une bonne bière d'Alsace grâce à notre système libre-service.","958","$$ - $$$","$10 - $30"
"Assanabel","6 rue d Alesia, 75014 Paris France","454","4.5",,"349","$$ - $$$",
"Damigiana","56 rue Jean Jacques Rousseau, 75001 Paris France","482","4.5","Damigiana has the largest italian wine-list in Paris, with wines directly sourced from the winemakers. We also serve exceptional Italian cold cuts and cheeses, and an italian traditional ""cucina"" with a 100% homemade cuisine. You can chose to stay at the wine bar on the ground floor, or at the upstairs restaurant: discover Italy off the beaten track!","291","$$ - $$$","$16 - $50"
"Le Vaisseau Vert","10 rue de Parme, 75009 Paris France","473","4.5","The Vaisseau Vert offers creative, gourmet cuisine, inspired by the French culinary tradition and combined with flavors from elsewhere. All dishes are prepared by our cooks and elaborated exclusively with fresh and organic products of the season. We work with growers and breeders who respect the environment. We welcome you in a cozy and elegant setting where the atmosphere is soothed and friendly to offer a moment of great quality.","448","$$$$","$17 - $50"
"Neva Cuisine","2 rue de Berne, 75008 Paris France","427","4.5","Restaurant Bistronomique tenu par Beatriz Gonzalez. Lieu désormais reconnu de la scène parisienne, nous proposons une cuisine française de saison et créative, inspirée de touches mexicaines, Côté décor, on pénètre dans un univers intime et discret, parquet, banquette crème et couleurs claires, suspensions élégantes et esprit de bistrot raffiné. Retrouvez nous près de la place de l'Europe et de la gare Saint Lazare à Paris 75008.","555","$$$$",
"Carre des Feuillants","14 rue de Castiglione, 75001 Paris France","472","4.5",,"591","$$$$",
"Les Enfants Rouges","9 rue de Beauce, 75003 Paris France","438","4.5",,"520","$$ - $$$","$42 - $63"
"L'Impasto","63 rue Traversiere, 75012 Paris France","434","4.5",,"210","$$ - $$$","$10 - $16"
"Papy aux Fourneaux","70 rue de l ouest Montparnasse-Gaîté-Pernety, 75014 Paris France","403","4.5","Papy aux fourneaux (ou PAF pour les intimes), c’est un lieu convivial où on mange bien et on s’amuse. Le Concept ? - des plats en milieu de table 100% à partager - des recettes inspirées des grands mères - des produits de producteurs sélectionnés, locaux & issus de l’agriculture raisonnée et biologique Bref, un lieu à vivre comme à la maison où en s’en met plein les papilles, on rencontre et on échange dans une atmosphère détendue et chaleureuse ;) --- Papy aux Fourneaux is a modern table d'hôtes based on traditional french cooking ('papy'= grandpa= good old fashioned at home recipes). We serve fresh products issued from sustainable agriculture, chosen with care from farmers who share our values. Furthermore, we are built around the concept of sharing, with every dish cooked for minimum two guests...and the more, the merrier ! Our menu offers set prices with starters being 12 euros, mains 19 euros and desserts 8 euros. Group bookings are possible.","481","$$ - $$$","$19 - $37"
"Baosian","67 Rue du Faubourg Montmartre, 75009 Paris France","393","5",,"121","$","$10 - $20"
"Chez Eugene","17 Place du Tertre, 75018 Paris France","505","4.5","Wine Bistro / Cellar - homemade, natural wines, local products. We have to describe ourself in 100 characters otherwise Tripadvisor is not happy. We take the opportunity of those many characters to say ""Hello folks""","276","$$ - $$$",
"Papa Poule","23 rue des Taillandiers, 75011 Paris France","397","4.5",,"210","$$ - $$$",
"Sola","12 rue de l Hotel Colbert, 75005 Paris France","421","4.5",,"807","$$$$","$98 - $150"
"Le Petit Baigneur","10 rue de la Sabliere, 75014 Paris France","446","4.5",,"492","$$ - $$$",
"Le Ruisseau Burger Joint","22 rue Rambuteau, 75003 Paris France","417","4.5","Homemade burgers. Open all day. Eat in/Take out.","513","$","$10 - $15"
"Circonstances","174 rue Montmartre, 75002 Paris France","470","4.5",,"279","$$ - $$$",
"Hugo&Co","48 rue Monge, 75005 Paris France","423","4.5","Hugo and co is a cosy restaurant located in the latin Quarter with cosmopolitan menu of affordably priced small plates made for sharing. with a great wine list the service is friendly.","214","$$$$","$20 - $42"
"Coin-OP Table","17 rue de Maubeuge, 75009 Paris France","435","5","Comcept unique Restauration et jeux d arcade issues d une cuisine fusion franco taiwanaise produits fait maison ! borne d arcade vintage des annees 1980 Gua bao , planches , bubble tea , bieres de degustation, selection de vins de petits producteurs Bienvenue a COIN-OP TABLE","130","$$ - $$$","$10 - $38"
"Alleno Paris","8 avenue Dutuit Champs-Elysees, 75008 Paris France","467","4.5","On the first floor of the superb néo-classical mansion with many bay windows, Yannick Alléno has established his 3 MICHELIN star restaurant (2021 Michelin Guide), also ranked at The Worlds's 50 Best restaurants. In the both grandiose and intimate room, in which the original frescos have been enrolled at Historical Monuments, each detail has been thoughtfully arranged to ensure an exceptional gastronomic moment. Yannick Alléno proves that he learned close to the best chefs and shows that he has an avant-gardist vision. Extractions® bring sauces up to date, while fermentations invoke products’ specific terroirs, and each course delicately unfolds. Every dish is structured, well-presented and skilfully researched. The whole meal is a remarkable demonstration of Yannick Alléno’s uniquely creative and uncompromising approach.","870","$$$$","$295 - $415"
"Le Bookie","15 rue de Trevise, 75009 Paris France","441","4.5",,"329","$$ - $$$",
"Via Del Campo","22 rue du Champ de Mars Numero de la suite, intersection, place, 75007 Paris France","437","5","Plébiscité par les vrais italiens, Via Del Campo est une table transalpine incontournable du septième arrondissement, entre les rives de la Seine et le Champ de Mars. Dans une atmosphère chic, nappes immaculées et moulures derrière les longues baies vitrées, le chef sarde Enrico Masia et sa femme Tatiana Scutelnic décline son pays et sa région au fil des saisons et en suivant l’inspiration de produits épatants. En entrées, les antipasti, légumes comme charcuteries, font dans l’excellence, alors que le carpaccio de saint-jacques relevé de citron et d’oeufs de saumon est d’une belle délicatesse. Les linguine aux palourdes ou les paccheri au ragoût façon bolognese sont impeccables, mais le dos de bar nacré servi avec jus de poisson, olives et câpres comblera ceux qui veulent éviter la pasta.","101","$$$$","$25 - $80"
"Vin Sur Vin","122 rue de Sannois, 95120 Ermont France","1","4.5",,"371","$$$$",
"Le Chefson","17 rue Charles Chefson, 92270 Bois Colombes France","1","4.5","Le Restaurant Le Chefson vous propose une cuisine du terroir raffinée et revisitée aux saveurs innovantes, franches et généreuses.","320","$$ - $$$",
"Il Modigliani","172 rue du Faubourg Saint Antoine, 75012 Paris France","436","4.5",,"334","$$ - $$$",
"le papacionu","7 rue Cadet, 75009 Paris France","449","4.5",,"655","$$ - $$$",
"Auberge des Arcades","134 avenue du General Leclerc, 78220 Viroflay, Versailles France","1","4.5",,"452","$$ - $$$",
"Le Volant","La Motte Picquet 13 rue Beatrix Dussane, 75015 Paris France","442","4.5",,"632","$$ - $$$",
"Papa Jazz Club","3 rue Saint Benoit, 75006 Paris France","429","4.5",,"395","$$ - $$$","$26 - $60"
"Et Toque !","7 rue Emile Duclaux, 92150 Suresnes France","2","4.5","Le restaurant Et Toque ! est impatient de vous accueillir dans la Galerie d’artisanat d’art « la Verrière » à Suresnes au 7 rue Émile Duclaux. Dans un cadre chaleureux, cosy et moderne, le chef Maxime SALVI vous accueillera du mardi au samedi midi et soir. Gourmandise, plaisir, qualité et respect de la saisonnalité des produits sont les maîtres mots de sa cuisine. Les bons plats s’accompagneront aussi de bons vins Nnatures et biodynamiques sourcés chez les meilleurs viticulteurs. Soucieux de la qualité et dans une démarche écoresponsable, le chef Maxime SALVI sélectionne ses produits pour une expérience unique. Toutes nos viandes sont françaises et élevées dans le Pas de calais, nos poisson sont issus de la pêche française et nos légumes proviennent en grande majorité d'un producteur local situé à moins de 50 km du restaurant.","315","$$ - $$$","$19 - $60"
"Anco","108 rue de Bercy, 75012 Paris France","414","4.5",,"372","$$ - $$$",
"Le Coin des Amis","50 rue du Mont Cenis, 75018 Paris France","448","4.5",,"505","$$ - $$$","$15 - $30"
"Le Taillevent","15 Rue Lamennais, 75008 Paris France","445","4.5",,"1019","$$$$","$52 - $110"
"La Forge","26 avenue Mathurin Moreau, 75019 Paris France","455","4.5",,"203","$$ - $$$",
"Il Forno Di Napoli","162 boulevard du Montparnasse Ouvert Le Dimanche, 75014 Paris France","374","4.5","Here restoring traditional neapolitan, pizza in wood fires, open from monday till thursday of 12:00 am at 3 pm and of 7:00 pm 00 from friday till saturday of 12:00 am at 3:00 pm and of 19 hours 0 a hour 30 on sunday of 12:00 am 00 and 7:00 pm at 11:00 pm. Dishes, antipastis and pizzas are to be taken if you want to feast at home; it is advised to reserve friday and saturday.","1230","$$ - $$$",
"Les Deux Colombes","4 rue de la Colombe, 75004 Paris France","440","5",,"83","$$ - $$$","$12 - $20"
"Les Tantes Jeanne","42 rue Veron, 75018 Paris France","392","4.5","Les Tantes Jeanne is a gastronomic restaurant located in Montmartre, near the Moulin Rouge. The restaurant is specialized in matured beef and exceptional meats : it's one of the only Parisian tables which serves certified Kobe beef. All the meats are served with wonderful and elegant vegetables. The chef also works with rare, fine and fresh products such as the Wild Char or the Iranian Black Lime, chosen for their quality and their surprising tastes.","1375","$$$$","$50 - $160"
"Restaurant Akrame","7 rue Tronchet, 75008 Paris France","367","4.5",,"618","$$$$",
"Frederic Simonin","25 rue Bayen, 75017 Paris France","465","4.5",,"440","$$$$","$75 - $150"
"Le Colimacon Marais","44 rue Vieille du Temple Le Marais, 75004 Paris France","463","4.5","In the heart of the Marais District in the historical area the Colimaçon is a typical Classic french and Parisian restaurant. Traditional french cuisine is serving in a nice and cosy atmosphere only 38 seats with air conditioning.","1098","$$ - $$$","$49 - $79"
"Le Barav","6 rue Charles Francois Dupuis, 75003 Paris France","430","4.5",,"313","$$ - $$$",
"La Verriere Paris","4 rue Niepce, 75014 Paris France","478","4.5","Nestled in the heart of the Niepce Paris hotel, the restaurant La Verrière Paris is in line with new places. In a refined contemporary decor, bathed in natural light, the restaurant La Verrière Paris invites its guests to a culinary journey through flavors reinvented by our chef Adèle Martin.","249","$$$$","$14 - $68"
"Il Farniente","250 rue du Faubourg Saint Antoine, 75012 Paris France","395","4.5",,"414","$$ - $$$","$15 - $30"
"La Rughetta","41 rue Lepic Montmartre, Abbeses, 75018 Paris France","384","4.5","A tasty Italian restaurant ran by three French men ? That is the gourmet challenge Thibault, Guillaume et Vivien gave themselves, by taking over the restaurant la Rughetta, located 41 Lepic Street, Paris XVIII. A cosy and cheerful place, simple yet tasty meals, cooked with fresh food, that's what you'll get by stepping into this colourful place, up to thrill Montmartre's people and all lovers of the XVIIIth district of Paris. Saltimbocca, calzone, garlic confit and parm ham sliced before your very eyes, the Rughetta team is welcoming you 7/7 for lunch, dinner, brunch, or even for an aperitif dinner !","651","$$ - $$$","$12 - $35"
"Le Souffle","36 rue du Mont Thabor, 75001 Paris France","375","4.5",,"2383","$$ - $$$","$15 - $45"
"Neuilly's","14 rue de Longchamp, 92200 Neuilly-sur-Seine France","1","4.5",,"434","$$ - $$$","$18 - $29"
"Restaurant Georgette","44 Rue D'Assas, 75006 Paris France","468","4.5",,"642","$$ - $$$","$8 - $32"
"Tifinagh Restaurant","17 avenue Rachel, 75018 Paris France","447","4.5","Restaurant de cuisine traditionnelle française . Tout fait maison. Produits frais et de saison . Plats du jour.","311","$$ - $$$","$20 - $30"
"A La Maison","128 avenue du General de Gaulle ., 94500 Champigny-sur-Marne France","1","4.5",,"328","$$ - $$$","$19 - $33"
"Maison Rostang","20 rue Rennequin, 75017 Paris France","409","4.5","L’emblématique Maison Rostang est, depuis plus de 40 ans, un lieu refuge de tous les amateurs des grands classiques de la gastronomie française. Le chef Nicolas Beaumann conjugue classicisme et modernité pour élaborer une cuisine d’excellence, franche, fraîche et audacieuse. Ses créations s’inscrivent dans la tradition française avec une ambition d’innovation : le produit est sublimé, les goûts sont francs et dynamiques, les accords millimétrés pour offrir une expérience gastronomique inoubliable.","638","$$$$","$105 - $280"
"Smrity Mahal Restaurant","85 avenue Jean Jaures, 93300 Aubervilliers France","1","5",,"150","$$ - $$$","$15 - $25"
"Les Saveurs d'Abyssinie","1 rue de l Arbalete, 75005 Paris France","498","4.5","A deux pas de la rue Mouffetard et pas loin des jardins des Plantes, nous vous proposons des spécialités de viandes, poissons et légumes accompagnés de l’injera, la galette traditionnelle éthiopienne.","203","$$ - $$$","$12 - $17"
"Il Farniente","1 rue Paul Fort, 75014 Paris France","479","4.5",,"752","$$ - $$$","$15 - $30"
"Restaurant Gastronomique Louis","23 rue de la Victoire, 75009 Paris France","491","4.5","Gourmet restaurant in the Michelin Guide 15/20 Gault et Millau ""Through this menu it is a bit of my identity that I invite you to discover, my roots, Brittany, my travels, a look at the ocean, my feet on earth and inspiration in search of new horizons ""Chef Stéphane Pitré","241","$$$$","$48 - $125"
"Hugo","12 rue Papillon, 75009 Paris France","501","4.5","Cuisine naturelle et Provençale , vins de récoltant et produits bio , petit restaurant accueillant et chaleureux , Routard , Michelin , La Fourchette , TripAdvisor","1134","$$ - $$$","$16 - $30"
"Mamie Cherie","16 Rue De Candie, 75011 Paris France","640","4.5",,"199","$$ - $$$","$17 - $26"
"Galette Cafe","2 rue de l Universite Saint Germain des Près, 75007 Paris France","474","4.5","At « Galette Café » the dough of our “galettes” and “crêpes” is prepared daily in the traditional way using the best organic flours from “Bretagne” (Britanny): A buckwheat flour PGI and a wheat flour of high quality.An array of delicious fillings cooked with care and precision everyday compose our “galettes” and “crêpes”; and perfectly pair with our selection of artisanal ciders or with a cold draft beer.In addition to our traditional ice creams; our artisanal and organic Kouign-amann can be enjoyed at any time of the day.","526","$$ - $$$","$7 - $15"
"Nossa","1 rue de l Ecole Polytechnique, 75005 Paris France","484","4.5",,"284","$","$8 - $15"
"Don Giovanni","11 Place du General de Gaulle, 92330 Sceaux France","1","4",,"677","$$ - $$$","$21 - $48"
"Pizza Rossi","24 Rue Blondel, 75002 Paris France","493","4.5",,"901","$","$8 - $18"
"Le Baudelaire","6-8 Rue Duphot, 75001 Paris France","487","4.5",,"438","$$$$","$42 - $145"
